r [Angst],g_full(r),g_8-1(r),g_8-2(r),g_4-3(r)
0.025,13989.328302578566,0.0,0.0,0.0
0.07500000000000001,4.515449059767174,0.0,0.0,0.0
0.125,4.70393422923114,0.0,0.0,0.0
0.17500000000000002,4.9488985035286195,0.0,0.0,0.0
0.225,5.503283308568703,0.0,0.0,0.0
0.275,7.2223230319353116,0.0,0.0,0.0
0.325,7.8183596671558755,0.6285144745160262,0.0,0.0
0.375,7.332882894651488,0.3148770740178909,1.4097905359437384,0.0
0.42500000000000004,6.4391609506357,0.24522684566370304,0.0,0.0
0.47500000000000003,6.620053959363444,0.1963624557528544,0.0,0.0
0.525,7.95225193826065,0.2411520793460282,0.7198024186540537,0.0
0.5750000000000001,8.664579225951226,0.3351021757495185,0.0,0.0
0.625,8.626529547017906,0.22692633479327742,1.0160110898699009,0.0
0.675,9.508545697059994,0.1459256641015271,0.43556599739395196,0.0
0.7250000000000001,12.821861773570264,0.33733264981948363,0.37758256826385383,0.0
0.775,16.42915981973539,0.40593375908409085,0.33045020884118137,0.0
0.8250000000000001,17.87921909817235,0.16283422738379302,0.5832425962655858,0.0
0.875,19.590383587281497,0.4342836684631954,0.0,0.0
0.925,25.331725321595492,0.4663369324062434,0.23199084768694425,0.0
0.9750000000000001,36.68718777013282,0.4897014617394806,0.6264362854719329,0.0
1.0250000000000001,49.27962724862485,0.37980018206281674,0.7557639986502513,0.0
1.075,53.3691435312784,0.5371298897810595,0.5153307871113736,0.0
1.125,44.45632884093351,0.4554212848040199,0.4705489148936638,0.0
1.175,32.771092611213085,0.5459516195856366,0.7189336167003373,0.0
1.225,23.49323417069313,0.5170732628583636,0.5291606897823249,0.0
1.2750000000000001,21.56464313778096,0.6000578991278923,0.7327153272408767,0.0
1.3250000000000002,26.862499051970374,0.5808861825854493,0.45231058485902564,0.0
1.375,30.250647129555265,0.7622134548449827,0.42001692476772456,0.0
1.425,28.12544687515213,0.6332427327704905,0.782124253014335,0.0
1.475,29.391954173819627,0.5400907606239466,0.8212529318921584,0.0
1.5250000000000001,34.114879016814925,0.7435882460952769,0.8536531729648578,0.0
1.5750000000000002,36.052826924086624,0.5451910910397098,1.040413102945379,0.0
1.625,33.15723513615714,0.5961202289587684,0.9021947639299149,0.0
1.675,28.421205573835977,1.0589109323149914,0.5660934970584895,0.0
1.725,24.452596200839412,3.9340676377435497,0.46703506133336387,0.0
1.7750000000000001,23.004250481744307,12.596332142442769,0.5671228260170394,0.0
1.8250000000000002,23.88833166150029,23.83789611556336,0.7153002769311737,0.0
1.875,23.33274184322447,25.976463009204583,0.45177454482008395,0.0
1.925,21.19112992172721,19.85810821502688,0.42861182923227664,0.0
1.975,20.065672493829705,10.242686858284593,0.35628758898129514,0.0
2.025,21.148213203205415,4.038917542698697,0.4357430207621268,0.0
2.075,22.083701892064315,1.591174345102406,0.1844432750721825,0.046110818768045625
2.125,19.345911096308246,0.893614047115917,0.30776567706614555,0.0
2.1750000000000003,14.394181825669646,0.7170844198415196,0.16787359561352247,0.0
2.225,10.4458466295304,0.6090838805947825,0.20051725347121005,0.04010345069424201
2.275,8.594718159669537,0.5611868895252037,0.2685207219483888,0.0
2.325,8.21728055666895,0.6439520120947049,0.2938240796355688,0.0
2.375,8.117438699498713,0.49920273597621373,0.14079160914432964,0.0
2.4250000000000003,7.768709053588373,0.4863706313351302,0.23633019753740145,0.0
2.475,7.505894315425796,0.3691913346429329,0.32411182230239666,0.0
2.5250000000000004,7.802779169972779,0.3512375360352495,0.24912257281347985,0.0
2.575,8.624698886663497,0.2708528507120089,0.50902704659625,0.02994276744683823
2.625,9.492816463849625,0.3056809422758039,0.6626987317950552,0.05762597667783088
2.6750000000000003,10.288452396215744,0.26647393698474603,1.5537740342577766,0.11098385958984126
2.725,11.795795754662798,0.2657426815342332,2.593501992562637,0.13368566971972382
2.7750000000000004,13.70882577089795,0.3339925418811126,3.1970101148400603,0.18047637745064846
2.825,14.817643797922402,0.2833795030761414,2.935579290778948,0.42292244019696773
2.875,15.035490480057456,0.3594468302353636,2.3059221348070618,0.5044204669890439
2.9250000000000003,14.076278484136378,0.26692632840310804,3.6201147063037658,0.9050286765759411
2.975,12.883020706350122,0.3006170351700798,7.178370415576436,1.3235120453719056
3.0250000000000004,12.908212754367668,0.36102903200275493,16.815163960042895,1.9744257036953616
3.075,13.909627154285861,0.3517288193510851,31.726685596902808,3.2335602792343185
3.125,14.941488617966675,0.3496454786410803,42.57232985775113,5.550260769420284
3.1750000000000003,15.799341475329843,0.3739116448927002,40.59210810812836,8.843210354463672
3.225,16.222414655417037,0.2579489338431159,29.760349514913152,13.687088263112738
3.2750000000000004,16.38469062352623,0.3018132594327336,14.271952221500541,20.73227819465703
3.325,16.374096642993802,0.2968156092310052,4.884695210391341,27.36865992881023
3.375,16.386994891669477,0.24915578554228576,1.7604590429456164,31.705693060575065
3.4250000000000003,16.136116210853707,0.19468158085634119,0.6939290064327741,36.084308334504264
3.475,15.45699355174596,0.20931687626901796,0.5590129335127123,36.286516007722255
3.5250000000000004,14.754959902321486,0.19093025717475445,0.3515258005927719,32.148632308757136
